ID	Station Name	Lat	Lon	BI
2.10477E+11	Tokyo	35.68	139.77	141
4.25004E+11	Ft Stockton	30.91	-102.92	19
4.25004E+11	Condon	45.23	-120.18	0
4.25005E+11	Viroqua	43.56	-90.88	26
2.21472E+11	Yosu	34.73	127.73	28
5.01956E+11	Jurien	-30.3	115.03	0
5.28919E+11	Mopelia	French    -16.77	-153.95	0
5.01947E+11	Woomera Aerod	-31.13	136.82	0
5.04917E+11	Kanton Island	-2.77	-171.72	0
4.03719E+11	"Vauxhall Cda,Al"	50.05	-112.13	0
4.03712E+11	"Cap Madeleine,Qu"	49.23	-65.32	0
4.25004E+11	Chambersburg 1 Ese	39.94	-77.64	56
3.01871E+11	"San Martin De Tucuman,"	Arg       -26.80	-65.3	31
1.18645E+11	Port-Gentil	-0.7	8.8	16
2.10477E+11	Tateyama	34.98	139.87	17
2.07433E+11	Kodaikanal	10.23	77.47	0
6.5103E+11	Fort William	56.83	-5.1	13
4.25003E+11	Fallon Exp Stn	39.46	-118.78	20
5.28919E+11	Hao	-18.07	-140.95	0
4.25005E+11	Buckley 1 Ne	47.17	-122	10
2.05518E+11	Pishan	37.62	78.28	0
5.01944E+11	Morawa	-29.22	116	0
3.04891E+11	Base Arturo P	-62.5	-59.68	0
6.17106E+11	Frankfurt/	50.05	8.6	43
2.15442E+11	Omno-Gobi	49.02	91.72	0
4.25001E+11	Rockville	39.76	-87.23	19
6.18167E+11	Athinai (Airp	37.9	23.73	47
4.03711E+11	"Mould Bay, N."	76.23	-119.33	0
4.31042E+11	Upernavik	72.78	-56.17	0
2.28483E+11	Chiang Rai	19.92	99.83	27
1.51654E+11	Mango	10.37	0.47	0
4.0372E+11	"Haines Junction,Yt"	60.77	-137.58	0
4.03719E+11	Coral Harbour	64.2	-83.37	0
6.51035E+11	Gorleston	52.6	1.7	21
6.34012E+11	Dombas               No	rway       62.00	9.1	0
4.25725E+11	Newark/Int'L Arpt	40.7	-74.17	139
4.25724E+11	Sandberg/Wsmo	34.75	-118.73	0
6.49171E+11	Kocaeli	40.8	29.9	20
5.0195E+11	Maatsuyker Is	-43.65	146.27	0
6.51035E+11	Birmingham/Ai	52.45	-1.73	25
2.11289E+11	Kokshetay	53.28	69.38	12
2.21472E+11	Chungmu	34.83	128.43	24
4.25746E+11	Gallup/Senator Clarke F	ld         35.52	-108.78	24
4.25001E+11	Lake City 2 E	30.19	-82.59	18
4.25724E+11	Deming/Faa Airport	32.25	-107.7	0
6.43085E+11	Almeria/Aerop	36.85	-2.38	16
